what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,org.eclipse.jdt.ui.JavaPerspective,1380104540408
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,org.eclipse.osgi,1380104540408
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,org.eclipse.equinox.simpleconfigurator,1380104540408
started,bundle,com.ericsson.statscollector,1.0.38,com.ericsson.statscollector,1380104540408
started,bundle,com.ericsson.statscollector.common.preference,1.0.3,com.ericsson.statscollector.common.preference,1380104540408
started,bundle,com.ericsson.statscollector.recording,1.0.20,com.ericsson.statscollector.recording,1380104540408
started,bundle,com.ibm.icu,4.4.2.v20110823,com.ibm.icu,1380104540408
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,org.eclipse.core.contenttype,1380104540408
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,org.eclipse.core.databinding.observable,1380104540408
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,org.eclipse.core.expressions,1380104540408
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,org.eclipse.core.filebuffers,1380104540408
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,org.eclipse.core.jobs,1380104540408
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,org.eclipse.core.net,1380104540408
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,org.eclipse.core.resources,1380104540408
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,org.eclipse.core.runtime,1380104540408
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,org.eclipse.core.runtime.compatibility,1380104540408
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,org.eclipse.core.runtime.compatibility.auth,1380104540408
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,org.eclipse.core.variables,1380104540408
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,org.eclipse.debug.core,1380104540408
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,org.eclipse.equinox.app,1380104540408
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,org.eclipse.equinox.common,1380104540408
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,org.eclipse.equinox.ds,1380104540408
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,org.eclipse.equinox.event,1380104540424
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,org.eclipse.equinox.p2.core,1380104540424
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,org.eclipse.equinox.p2.directorywatcher,1380104540424
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,org.eclipse.equinox.p2.reconciler.dropins,1380104540424
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,org.eclipse.equinox.preferences,1380104540424
